,货币供应量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Money Supply,,,,,,,,,,,,,,
1,,,,,,,,,,,单位：亿元人民币,,,,
2,,,,,,,,,,,Unit:100 Million Yuan,,,,
3,,,,,,,,,,,,,,,
4,项目 Item,,,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12
5,,,,,,,,,,,,,,,
6, 货币和准货币（M2）,,,2213047.33,2236030.26,2276488.45,2262107.12,2275538.07,2317788.36,2302153.82,2312267.68,2342829.7,2336160.48,2356012.76,2382899.56
7, Money & Quasi-money,,,,,,,,,,,,,,
8,, 货币（M1）,,625563.81,593487.46,616113.17,605421.89,616828.32,637479.36,620367.05,626658.69,624645.68,626082.12,637482.04,647443.35
9,, Money,,,,,,,,,,,,,
10,,,流通中货币（M0）,89625.24,91924.6,86543.64,85803.37,84177.72,84346.97,84717.56,85059.2,86867.09,86085.78,87433.41,90825.15
11,,,Currency in Circulation,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,    注：2018年1月，人民银行完善货币供应量中货币市场基金部分的统计方法，用非存款机构部门持有的货币市场基金取代货币市场基金存款（含存单）。完善后2017年各月末M2增速如下：,,,,,,,,,,,,,,
14,"        The PBC improved the method of data compiling in money supply statistics in January 2018. Specifically, as a result of improvement, the item of money market funds, which was treated as deposits of",,,,,,,,,,,,,,
15,"        money market funds(CD included), is now treated as the total of money market fund units held by the non-deposit taking financial institutions, household sector and non-financial companies. After",,,,,,,,,,,,,,
16,"        applying the new method, M2 growth rates in 2017 are updated correspondingly: ",,,,,,,,,,,,,,
17,,,,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12
18,,,M2,0.107,0.104,0.101,0.098,0.091,0.091,0.089,0.086,0.09,0.089,0.091,0.081
