,货币供应量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Money Supply,,,,,,,,,,,,,,
1,,,,,,,,,,,单位：亿元人民币,,,,
2,,,,,,,,,,,Unit:100 Million Yuan,,,,
3,,,,,,,,,,,,,,,
4,项目 Item,,,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.1,2025.11,2025.12
5,,,,,,,,,,,,,,,
6, 货币和准货币（M2）,,,3185247.18,3205173.24,3260554.57,3251739.32,3257838.11,3302868.17,3299429.06,3319831.44,3353771.03,3351312.31,,
7, Money & Quasi-money,,,,,,,,,,,,,,
8,, 货币（M1）,,1124457.45,1094370.01,1134863.1,1091407.33,1089147.65,1139494.08,1110586.92,1112255.7,1131455.07,1119962.73,,
9,, Money,,,,,,,,,,,,,
10,,,流通中货币（M0）,142254.48,132756.61,130691.86,131387.01,131258.52,131827.18,132844.8,133402.29,135813.36,135478.14,,
11,,,Currency in Circulation,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,     注：中国人民银行自统计2025年1月份数据起，启用新修订的狭义货币（M1）统计口径。修订后的M1包括：流通中货币（M0）、单位活期存款、个人活期存款、非银行支付机构客户备付金。按可比口径回溯后，2024年各月末M1可比余额和增速分别为：,,,,,,,,,,,,,,
14,"         The People’s Bank of China has used a revised measurement for narrow money (M1) starting from January 2025. The revised M1 includes currency in circulation (M0), corporate demand deposits, personal demand deposits and provisions received by non-bank payment institutions. On a comparable basis, the retrospectively revised M1 balance and growth rate at the end of each month in 2024 are as follows:",,,,,,,,,,,,,,
15,,,,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.1,2024.11,2024.12
16,,,余额（亿元）,1120120.0,1093158.0,1117433.0,1075084.0,1064391.0,1089170.0,1051800.0,1049684,1055410.0,1054884.0,1076379.0,1113069.0
17,,,Balance,,,,,,,,,,,,
18,,,(100 Million Yuan),,,,,,,,,,,,
19,,,同比增速,0.033,0.026,0.023,0.006,-0.008,-0.017,-0.026,-0.03,-0.033,-0.023,-0.007,0.012
20,,,Growth Rate,,,,,,,,,,,,
21,,,(YOY),,,,,,,,,,,,
