,货币供应量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Money Supply,,,,,,,,,,,,,,
1,,,,,,,,,,,单位：亿元人民币,,,,
2,,,,,,,,,,,Unit:100 Million Yuan,,,,
3,,,,　,　,　,　,　,　,　,　,　,　,　,　
4,项目 Item,,,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12
5,　,,,　,　,　,　,　,　,　,　,　,　,　,　
6, 货币和准货币（M2）,,,1865935.33,1867427.45,1889412.14,1884670.33,1891153.7,1921360.19,1919410.82,1935492.43,1952250.49,1945600.55,1961429.56,1986488.82
7, Money & Quasi-money,,,,,,,,,,,,,,
8,, 货币（M1）,,545638.46,527190.48,547575.54,540614.6,544355.64,567696.18,553043.11,556798.09,557137.95,558143.92,562486.52,576009.15
9,　, Money,,,,,,,,,,,,,
10,,,流通中货币（M0）,87470.62,79484.72,74941.58,73965.76,72798.46,72580.96,72689.25,73152.62,74129.75,73395.4,73973.82,77189.47
11,　,　,Currency in Circulation,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,    注：2018年1月，人民银行完善货币供应量中货币市场基金部分的统计方法，用非存款机构部门持有的货币市场基金取代货币市场基金存款（含存单）。完善后2017年各月末M2增速如下：,,,,,,,,,,,,,,
14,"        The PBC improved the method of data compiling in money supply statistics in January 2018. Specifically, as a result of improvement, the item of money market funds, which was treated as deposits of ",,,,,,,,,,,,,,
15,"        money market funds(CD included), is now treated as the total of money market fund units held by the non-deposit taking financial institutions, household sector and non-financial companies. After",,,,,,,,,,,,,,
16,"        applying the new method, M2 growth rates in 2017 are updated correspondingly: ",,,,,,,,,,,,,,
17,,,　,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12
18,,,M2,0.107,0.10400000000000001,0.10099999999999999,0.098,0.091,0.091,0.08900000000000001,0.086,0.09,0.08900000000000001,0.091,0.081
