,货币供应量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Money Supply,,,,,,,,,,,,,,
1,,,,,,,,,,,单位：亿元人民币,,,,
2,,,,,,,,,,,Unit:100 Million Yuan,,,,
3,,,,,,,,,,,,,,,
4,项目 Item,,,2022.01 ,2022.02 ,2022.03 ,2022.04 ,2022.05 ,2022.06 ,2022.07 ,2022.08 ,2022.09 ,2022.10 ,2022.11 ,2022.12 
5,,,,,,,,,,,,,,,
6, 货币和准货币（M2）,,,2431022.72 ,2441488.90 ,2497688.34 ,2499710.90 ,2527026.15 ,2581451.20 ,2578078.57 ,2595068.27 ,2626600.92 ,2612914.57 ,2647008.48 ,2664320.84 
7, Money & Quasi-money,,,,,,,,,,,,,,
8,, 货币（M1）,,613859.35 ,621612.11 ,645063.80 ,636139.01 ,645107.52 ,674374.81 ,661832.33 ,664604.85 ,664535.17 ,662140.99 ,667042.61 ,671674.76 
9,, Money,,,,,,,,,,,,,
10,,,流通中货币（M0）,106188.87 ,97227.70 ,95141.92 ,95626.49 ,95546.86 ,96011.17 ,96509.19 ,97231.03 ,98672.06 ,98416.71 ,99740.12 ,104706.03 
11,,,Currency in Circulation,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,     注：自2022年12月起，“流通中货币（M0）”含流通中数字人民币。12月末流通中数字人民币余额为136.1亿元。修订后，2022年各月末M1、M2增速无明显变化。修订后“流通中货币（M0）”增速如下：,,,,,,,,,,,,,,
14,"     From December 2022, e-CNY in Circulation is covered in Currency in Circulation.The amount of e-CNY in Circulation at end December 2022 is RMB 13.61 billion. After applying the new method, M1",,,,,,,,,,,,,,
15,"     and M2 growth rates remain unchanged, M0 growth rates in 2022 are updated correspondingly:",,,,,,,,,,,,,,
16,,,,2022.01 ,2022.02 ,2022.03 ,2022.04 ,2022.05 ,2022.06 ,2022.07 ,2022.08 ,2022.09 ,2022.10 ,2022.11 ,2022.12 
17,,,流通中货币（M0）,0.185,0.057999999999999996,0.1,0.115,0.135,0.139,0.139,0.14300000000000002,0.136,0.14400000000000002,0.141,0.153
