,货币供应量,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,Money Supply,,,,,,,,,,,,,,
1,,,,,,,,,,,单位：亿元人民币,,,,
2,,,,,,,,,,,Unit:100 Million Yuan,,,,
3,,,,,,,,,,,,,,,
4,项目 Item,,,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12
5,,,,,,,,,,,,,,,
6, 货币和准货币（M2）,,,1720814.46,1729070.12,1739859.48,1737683.73,1743063.79,1770178.37,1776196.11,1788670.43,1801665.58,1795561.6,1813175.07,1826744.22
7, Money & Quasi-money,,,,,,,,,,,,,,
8,, 货币（M1）,,543247.13,517035.99,523540.07,525447.77,526276.72,543944.71,536624.29,538324.64,538574.08,540128.37,543498.66,551685.91
9,, Money,,,,,,,,,,,,,
10,,,流通中货币（M0）,74636.29,81424.24,72692.63,71476.46,69774.81,69589.33,69530.59,69775.39,71254.26,70106.62,70563.3,73208.4
11,,,Currency in Circulation,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,    注：2018年1月，人民银行完善货币供应量中货币市场基金部分的统计方法，用非存款机构部门持有的货币市场基金取代货币市场基金存款（含存单）。完善后2017年各月末M2增速如下：,,,,,,,,,,,,,,
14,"        The PBC improved the method of data compiling in money supply statistics in January 2018. Specifically, as a result of improvement, the item of money market funds, which was treated as deposits of",,,,,,,,,,,,,,
15,"        money market funds(CD included), is now treated as the total of money market fund units held by the non-deposit taking financial institutions, household sector and non-financial companies. After",,,,,,,,,,,,,,
16,"        applying the new method, monthly M2 growth rates in 2017 are updated correspondingly:",,,,,,,,,,,,,,
17,,,,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12
18,,,M2,0.107,0.10400000000000001,0.10099999999999999,0.098,0.091,0.091,0.08900000000000001,0.086,0.09,0.08900000000000001,0.091,0.081
19, ,,,,,,,,,,,,,,
